point,x,y,beacon,rssi,rx_time_ns
baño_0,640,880,Beacon 1,-75,1522520486018502
baño_0,640,880,Beacon 4,-81,1522520504030579
baño_0,640,880,Beacon 6,-60,1522520516846194
baño_0,640,880,Beacon 3,-77,1522520522979153
baño_0,640,880,Beacon 2,-73,1522520525038353
baño_0,640,880,Beacon 7,-73,1522520540987194
baño_0,640,880,Beacon 5,-76,1522520545639425
baño_0,640,880,Beacon 8,-60,1522520552604348
baño_0,640,880,Beacon 4,-62,1522520609096656
baño_0,640,880,Beacon 6,-54,1522520623468963
baño_0,640,880,Beacon 3,-70,1522520633814615
baño_0,640,880,Beacon 7,-56,1522520647585656
baño_0,640,880,Beacon 5,-79,1522520650136117
baño_0,640,880,Beacon 8,-45,1522520659377271
baño_0,640,880,Beacon 1,-76,1522520698080963
baño_0,640,880,Beacon 4,-77,1522520718425963
baño_0,640,880,Beacon 6,-61,1522520728070579
baño_0,640,880,Beacon 7,-72,1522520756579733
baño_0,640,880,Beacon 5,-77,1522520759852656
baño_0,640,880,Beacon 8,-60,1522520763452733
baño_0,640,880,Beacon 4,-61,1522520820226194
baño_0,640,880,Beacon 2,-76,1522520829193122
baño_0,640,880,Beacon 6,-54,1522520837061348
baño_0,640,880,Beacon 3,-71,1522520839374230
baño_0,640,880,Beacon 5,-79,1522520859388656
baño_0,640,880,Beacon 8,-45,1522520861980656
baño_0,640,880,Beacon 4,-58,1522520923421963
baño_0,640,880,Beacon 6,-62,1522520945148425
baño_0,640,880,Beacon 5,-77,1522520964718579
baño_0,640,880,Beacon 8,-60,1522520965433271
baño_0,640,880,Beacon 4,-61,1522521026345271
baño_0,640,880,Beacon 3,-72,1522521049345307
baño_0,640,880,Beacon 6,-54,1522521053193040
baño_0,640,880,Beacon 5,-79,1522521067494810
baño_0,640,880,Beacon 8,-45,1522521068150194
baño_0,640,880,Beacon 7,-56,1522521069915810
baño_0,640,880,Beacon 4,-58,1522521134683194
baño_0,640,880,Beacon 6,-56,1522521156978194
baño_0,640,880,Beacon 5,-72,1522521173132425
baño_0,640,880,Beacon 7,-60,1522521176981348
baño_0,640,880,Beacon 3,-77,1522521258897999
baño_0,640,880,Beacon 6,-54,1522521260334579
baño_0,640,880,Beacon 5,-80,1522521275350887
baño_0,640,880,Beacon 8,-45,1522521276271810
baño_0,640,880,Beacon 7,-56,1522521279943117
baño_0,640,880,Beacon 4,-58,1522521345419425
baño_0,640,880,Beacon 6,-56,1522521362080964
baño_0,640,880,Beacon 3,-72,1522521369201384
baño_0,640,880,Beacon 5,-72,1522521381563733
baño_0,640,880,Beacon 7,-60,1522521382484733
baño_0,640,880,Beacon 8,-51,1522521385423502
baño_0,640,880,Beacon 1,-77,1522521443768964
baño_0,640,880,Beacon 4,-77,1522521451994271
baño_0,640,880,Beacon 6,-63,1522521464671502
baño_0,640,880,Beacon 5,-82,1522521490818271
baño_0,640,880,Beacon 8,-45,1522521492819425
baño_0,640,880,Beacon 2,-74,1522521552725430
baño_0,640,880,Beacon 4,-58,1522521564141579
baño_0,640,880,Beacon 3,-72,1522521578926846
baño_0,640,880,Beacon 7,-71,1522521582762887
baño_0,640,880,Beacon 5,-79,1522521599232656
baño_0,640,880,Beacon 8,-59,1522521600551502
baño_0,640,880,Beacon 4,-74,1522521663686502
baño_0,640,880,Beacon 6,-55,1522521672451810
baño_0,640,880,Beacon 7,-56,1522521683019502
baño_0,640,880,Beacon 8,-45,1522521701859194
baño_0,640,880,Beacon 2,-74,1522521767056815
baño_0,640,880,Beacon 4,-58,1522521775600656
baño_0,640,880,Beacon 7,-71,1522521786195117
baño_0,640,880,Beacon 3,-77,1522521789804999
baño_0,640,880,Beacon 8,-60,1522521803316656
baño_0,640,880,Beacon 5,-79,1522521816463810
baño_0,640,880,Beacon 1,-77,1522521851129887
baño_0,640,880,Beacon 6,-65,1522521881132348
baño_0,640,880,Beacon 7,-56,1522521894107733
baño_0,640,880,Beacon 8,-45,1522521904930502
baño_0,640,880,Beacon 5,-82,1522521928027810
baño_0,640,880,Beacon 2,-74,1522521973419276
baño_0,640,880,Beacon 6,-55,1522521984618271
baño_0,640,880,Beacon 7,-60,1522521997719425
baño_0,640,880,Beacon 3,-77,1522521999285615
baño_0,640,880,Beacon 8,-60,1522522014805040
baño_0,640,880,Beacon 5,-79,1522522033836425
baño_0,640,880,Beacon 1,-77,1522522070376040
baño_0,640,880,Beacon 2,-76,1522522079509969
baño_0,640,880,Beacon 6,-64,1522522090174810
baño_0,640,880,Beacon 4,-72,1522522097475194
baño_0,640,880,Beacon 7,-70,1522522100290502
baño_0,640,880,Beacon 3,-72,1522522106062538
baño_0,640,880,Beacon 8,-45,1522522118849040
baño_0,640,880,Beacon 5,-82,1522522137223425
baño_0,640,880,Beacon 2,-74,1522522179295199
baño_0,640,880,Beacon 6,-55,1522522193240040
baño_0,640,880,Beacon 3,-77,1522522213069615
baño_0,640,880,Beacon 8,-52,1522522228589964
baño_0,640,880,Beacon 5,-71,1522522248878194
baño_0,640,880,Beacon 2,-76,1522522284653430
baño_0,640,880,Beacon 6,-66,1522522297429656
baño_0,640,880,Beacon 7,-71,1522522308438194
baño_0,640,880,Beacon 4,-73,1522522311872040
baño_0,640,880,Beacon 3,-73,1522522319746307
baño_0,640,880,Beacon 5,-81,1522522349751502
baño_0,640,880,Beacon 2,-74,1522522384781969
baño_0,640,880,Beacon 6,-56,1522522405411425
baño_0,640,880,Beacon 4,-61,1522522413683733
baño_0,640,880,Beacon 7,-57,1522522415074502
baño_0,640,880,Beacon 3,-77,1522522421713615
baño_0,640,880,Beacon 8,-52,1522522436377887
baño_0,640,880,Beacon 5,-71,1522522454467733
baño_0,640,880,Beacon 2,-76,1522522486566969
baño_0,640,880,Beacon 6,-56,1522522512266194
baño_0,640,880,Beacon 7,-61,1522522515758887
baño_0,640,880,Beacon 3,-72,1522522528088769
baño_0,640,880,Beacon 5,-81,1522522554308117
baño_0,640,880,Beacon 2,-74,1522522591694661
baño_0,640,880,Beacon 6,-56,1522522613377964
baño_0,640,880,Beacon 7,-57,1522522618620656
baño_0,640,880,Beacon 4,-61,1522522625393964
baño_0,640,880,Beacon 3,-77,1522522635706923
baño_0,640,880,Beacon 8,-46,1522522644540348
baño_0,640,880,Beacon 5,-71,1522522658717656
baño_0,640,880,Beacon 6,-56,1522522723392425
baño_0,640,880,Beacon 7,-61,1522522726549887
baño_0,640,880,Beacon 5,-79,1522522761776041
baño_0,640,880,Beacon 2,-73,1522522804705738
baño_0,640,880,Beacon 7,-61,1522522827809887
baño_0,640,880,Beacon 4,-59,1522522830853964
baño_0,640,880,Beacon 3,-78,1522522845890923
baño_0,640,880,Beacon 5,-71,1522522866071194
baño_0,640,880,Beacon 1,-77,1522522906161271
baño_0,640,880,Beacon 6,-69,1522522923775733
baño_0,640,880,Beacon 4,-73,1522522928761656
baño_0,640,880,Beacon 7,-71,1522522931016964
baño_0,640,880,Beacon 8,-60,1522522964853656
baño_0,640,880,Beacon 2,-73,1522523017909661
baño_0,640,880,Beacon 6,-55,1522523027952117
baño_0,640,880,Beacon 3,-78,1522523050578000
baño_0,640,880,Beacon 8,-46,1522523070356425
baño_0,640,880,Beacon 5,-83,1522523074587502
baño_0,640,880,Beacon 1,-77,1522523123807117
baño_0,640,880,Beacon 2,-77,1522523124369738
baño_0,640,880,Beacon 6,-70,1522523133418271
baño_0,640,880,Beacon 4,-71,1522523140569656
baño_0,640,880,Beacon 3,-72,1522523162167769
baño_0,640,880,Beacon 8,-60,1522523174449041
baño_0,640,880,Beacon 5,-79,1522523180820348
baño_0,640,880,Beacon 2,-73,1522523224342584
baño_0,640,880,Beacon 6,-56,1522523236618271
baño_0,640,880,Beacon 7,-57,1522523239296348
baño_0,640,880,Beacon 4,-61,1522523248875117
baño_0,640,880,Beacon 3,-78,1522523260591846
baño_0,640,880,Beacon 8,-46,1522523279336117
baño_0,640,880,Beacon 2,-76,1522523335789969
baño_0,640,880,Beacon 7,-61,1522523349502887
baño_0,640,880,Beacon 4,-59,1522523353209964
baño_0,640,880,Beacon 3,-72,1522523370985615
baño_0,640,880,Beacon 8,-59,1522523384804041
baño_0,640,880,Beacon 5,-79,1522523397318810
baño_0,640,880,Beacon 8,-46,1522523493091425
baño_0,640,880,Beacon 2,-76,1522523540643584
baño_0,640,880,Beacon 4,-59,1522523560197964
baño_0,640,880,Beacon 7,-61,1522523563593579
baño_0,640,880,Beacon 3,-72,1522523585661615
baño_0,640,880,Beacon 5,-72,1522523618348041
baño_0,640,880,Beacon 1,-78,1522523645177041
baño_0,640,880,Beacon 4,-60,1522523667770579
baño_0,640,880,Beacon 7,-57,1522523670936425
baño_0,640,880,Beacon 8,-46,1522523695672733
baño_0,640,880,Beacon 5,-81,1522523724569964
baño_0,640,880,Beacon 2,-76,1522523757982661
baño_0,640,880,Beacon 4,-60,1522523770755733
baño_0,640,880,Beacon 7,-62,1522523781498887
baño_0,640,880,Beacon 5,-72,1522523830058194
baño_0,640,880,Beacon 4,-71,1522523873026887
baño_0,640,880,Beacon 7,-70,1522523887800425
baño_0,640,880,Beacon 6,-56,1522523954889348
baño_0,640,880,Beacon 2,-73,1522523971836507
baño_0,640,880,Beacon 4,-61,1522523983571810
baño_0,640,880,Beacon 7,-62,1522523995959810
baño_0,640,880,Beacon 3,-72,1522524002026846
baño_0,640,880,Beacon 1,-80,1522524065586579
baño_0,640,880,Beacon 4,-70,1522524081239733
baño_0,640,880,Beacon 7,-69,1522524102121964
baño_0,640,880,Beacon 8,-46,1522524119387733
baño_0,640,880,Beacon 6,-56,1522524162368425
baño_0,640,880,Beacon 2,-73,1522524181590661
baño_0,640,880,Beacon 4,-61,1522524188019502
baño_0,640,880,Beacon 3,-77,1522524204187461
baño_0,640,880,Beacon 7,-62,1522524206479425
baño_0,640,880,Beacon 8,-58,1522524226794194
baño_0,640,880,Beacon 5,-82,1522524245720348
baño_0,640,880,Beacon 6,-67,1522524269077348
baño_0,640,880,Beacon 1,-80,1522524273196118
baño_0,640,880,Beacon 4,-69,1522524291825348
baño_0,640,880,Beacon 7,-69,1522524311610810
baño_0,640,880,Beacon 5,-80,1522524349562502
baño_0,640,880,Beacon 6,-56,1522524375516348
baño_0,640,880,Beacon 2,-73,1522524389591892
baño_0,640,880,Beacon 4,-59,1522524395370810
baño_0,640,880,Beacon 7,-58,1522524414655733
baño_0,640,880,Beacon 3,-77,1522524419601000
baño_0,640,880,Beacon 8,-55,1522524440048733
baño_0,640,880,Beacon 6,-68,1522524475089271
baño_0,640,880,Beacon 1,-80,1522524480192656
baño_0,640,880,Beacon 2,-77,1522524496849430
baño_0,640,880,Beacon 4,-68,1522524502187425
baño_0,640,880,Beacon 7,-69,1522524523258271
baño_0,640,880,Beacon 3,-72,1522524529479769
