point,x,y,beacon,rssi,rx_time_ns
sofa_0,270,200,Beacon 1,-63,571162616593940
sofa_0,270,200,Beacon 6,-55,571162625407786
sofa_0,270,200,Beacon 2,-59,571162651217632
sofa_0,270,200,Beacon 8,-46,571162659055171
sofa_0,270,200,Beacon 7,-41,571162672607171
sofa_0,270,200,Beacon 1,-62,571162720457555
sofa_0,270,200,Beacon 6,-50,571162736909863
sofa_0,270,200,Beacon 2,-62,571162759597324
sofa_0,270,200,Beacon 8,-49,571162763481632
sofa_0,270,200,Beacon 7,-46,571162783455478
sofa_0,270,200,Beacon 1,-62,571162821850786
sofa_0,270,200,Beacon 6,-55,571162840139094
sofa_0,270,200,Beacon 2,-59,571162859444632
sofa_0,270,200,Beacon 8,-48,571162869700632
sofa_0,270,200,Beacon 7,-42,571162892222555
sofa_0,270,200,Beacon 1,-66,571162925347171
sofa_0,270,200,Beacon 6,-47,571162944044709
sofa_0,270,200,Beacon 2,-58,571162960334478
sofa_0,270,200,Beacon 8,-44,571162970986248
sofa_0,270,200,Beacon 7,-49,571163003118863
sofa_0,270,200,Beacon 1,-63,571163032177017
sofa_0,270,200,Beacon 6,-56,571163051742555
sofa_0,270,200,Beacon 2,-59,571163061604709
sofa_0,270,200,Beacon 8,-49,571163071114478
sofa_0,270,200,Beacon 7,-43,571163105272940
sofa_0,270,200,Beacon 1,-67,571163132672632
sofa_0,270,200,Beacon 6,-50,571163160924709
sofa_0,270,200,Beacon 2,-58,571163169057863
sofa_0,270,200,Beacon 8,-41,571163175388325
sofa_0,270,200,Beacon 7,-59,571163206554171
sofa_0,270,200,Beacon 1,-64,571163240625863
sofa_0,270,200,Beacon 6,-54,571163260112401
sofa_0,270,200,Beacon 2,-58,571163271290863
sofa_0,270,200,Beacon 8,-51,571163285233940
sofa_0,270,200,Beacon 7,-43,571163306017863
sofa_0,270,200,Beacon 1,-67,571163344413940
sofa_0,270,200,Beacon 6,-48,571163363580632
sofa_0,270,200,Beacon 8,-40,571163390598786
sofa_0,270,200,Beacon 7,-54,571163409501632
sofa_0,270,200,Beacon 1,-62,571163451636401
sofa_0,270,200,Beacon 6,-52,571163469457863
sofa_0,270,200,Beacon 2,-61,571163487741325
sofa_0,270,200,Beacon 8,-50,571163499759709
sofa_0,270,200,Beacon 2,-55,571163588934786
sofa_0,270,200,Beacon 8,-40,571163606525017
sofa_0,270,200,Beacon 7,-51,571163626669863
sofa_0,270,200,Beacon 6,-49,571163679058478
sofa_0,270,200,Beacon 2,-61,571163700120325
sofa_0,270,200,Beacon 8,-48,571163713857325
sofa_0,270,200,Beacon 1,-71,571163765554171
sofa_0,270,200,Beacon 6,-55,571163784745248
sofa_0,270,200,Beacon 2,-62,571163810307478
sofa_0,270,200,Beacon 8,-47,571163822127478
sofa_0,270,200,Beacon 7,-46,571163832671094
sofa_0,270,200,Beacon 1,-59,571163871432632
sofa_0,270,200,Beacon 6,-49,571163889564094
sofa_0,270,200,Beacon 2,-62,571163912677632
sofa_0,270,200,Beacon 8,-50,571163921087401
sofa_0,270,200,Beacon 7,-45,571163932981248
sofa_0,270,200,Beacon 1,-68,571163977289632
sofa_0,270,200,Beacon 6,-52,571163989962786
sofa_0,270,200,Beacon 2,-56,571164020525555
sofa_0,270,200,Beacon 8,-43,571164028899478
sofa_0,270,200,Beacon 1,-59,571164087910863
sofa_0,270,200,Beacon 6,-51,571164098996632
sofa_0,270,200,Beacon 7,-46,571164135844709
sofa_0,270,200,Beacon 1,-63,571164191562555
sofa_0,270,200,Beacon 6,-53,571164203217863
sofa_0,270,200,Beacon 2,-61,571164224032940
sofa_0,270,200,Beacon 8,-43,571164240574248
sofa_0,270,200,Beacon 1,-63,571164294526863
sofa_0,270,200,Beacon 6,-50,571164304588940
sofa_0,270,200,Beacon 2,-58,571164330225940
sofa_0,270,200,Beacon 7,-46,571164339385325
sofa_0,270,200,Beacon 8,-61,571164348465863
sofa_0,270,200,Beacon 1,-62,571164403611478
sofa_0,270,200,Beacon 2,-61,571164433020402
sofa_0,270,200,Beacon 7,-47,571164443222478
sofa_0,270,200,Beacon 8,-46,571164456561632
sofa_0,270,200,Beacon 1,-63,571164506010863
sofa_0,270,200,Beacon 6,-51,571164514633863
sofa_0,270,200,Beacon 2,-59,571164542620017
sofa_0,270,200,Beacon 7,-49,571164546574863
sofa_0,270,200,Beacon 8,-42,571164561564017
sofa_0,270,200,Beacon 1,-61,571164607673632
sofa_0,270,200,Beacon 6,-58,571164617448325
sofa_0,270,200,Beacon 2,-61,571164649573863
sofa_0,270,200,Beacon 7,-48,571164653853940
sofa_0,270,200,Beacon 8,-45,571164670147709
sofa_0,270,200,Beacon 1,-62,571164715860632
sofa_0,270,200,Beacon 6,-51,571164719394863
sofa_0,270,200,Beacon 2,-60,571164758793555
sofa_0,270,200,Beacon 8,-41,571164772441940
sofa_0,270,200,Beacon 1,-62,571164820683171
sofa_0,270,200,Beacon 6,-58,571164826688325
sofa_0,270,200,Beacon 8,-47,571164880870555
sofa_0,270,200,Beacon 1,-61,571164918862863
sofa_0,270,200,Beacon 6,-55,571164932732402
sofa_0,270,200,Beacon 7,-48,571164961867171
sofa_0,270,200,Beacon 2,-61,571164965358786
sofa_0,270,200,Beacon 8,-45,571164992838786
sofa_0,270,200,Beacon 1,-63,571165023410555
sofa_0,270,200,Beacon 6,-51,571165039287709
sofa_0,270,200,Beacon 7,-50,571165070308017
sofa_0,270,200,Beacon 1,-60,571165129109863
sofa_0,270,200,Beacon 6,-56,571165139921632
sofa_0,270,200,Beacon 7,-49,571165177017555
sofa_0,270,200,Beacon 2,-60,571165180300325
sofa_0,270,200,Beacon 8,-44,571165198956017
sofa_0,270,200,Beacon 1,-62,571165233413632
sofa_0,270,200,Beacon 6,-62,571165243568632
sofa_0,270,200,Beacon 7,-48,571165278814555
sofa_0,270,200,Beacon 2,-62,571165290414478
sofa_0,270,200,Beacon 8,-41,571165302434478
sofa_0,270,200,Beacon 1,-61,571165330602478
sofa_0,270,200,Beacon 6,-57,571165341420094
sofa_0,270,200,Beacon 7,-48,571165377824017
sofa_0,270,200,Beacon 2,-61,571165386952094
sofa_0,270,200,Beacon 8,-48,571165407904094
sofa_0,270,200,Beacon 1,-62,571165442686555
sofa_0,270,200,Beacon 6,-62,571165452612402
sofa_0,270,200,Beacon 7,-47,571165490073017
sofa_0,270,200,Beacon 2,-62,571165494124709
sofa_0,270,200,Beacon 8,-42,571165510983709
sofa_0,270,200,Beacon 6,-57,571165559591094
sofa_0,270,200,Beacon 7,-48,571165595081940
sofa_0,270,200,Beacon 2,-61,571165599802248
sofa_0,270,200,Beacon 8,-49,571165611430248
sofa_0,270,200,Beacon 6,-54,571165662946479
sofa_0,270,200,Beacon 7,-47,571165700491709
sofa_0,270,200,Beacon 8,-42,571165719621940
sofa_0,270,200,Beacon 1,-62,571165758543171
sofa_0,270,200,Beacon 6,-56,571165765699479
sofa_0,270,200,Beacon 7,-48,571165800431171
sofa_0,270,200,Beacon 2,-61,571165806775479
sofa_0,270,200,Beacon 8,-49,571165827546171
sofa_0,270,200,Beacon 1,-61,571165863738786
sofa_0,270,200,Beacon 6,-57,571165874678555
sofa_0,270,200,Beacon 7,-48,571165906258863
sofa_0,270,200,Beacon 2,-62,571165915972094
